Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group)
Age 65 or older,8.8,Age 45-64,17.3
Age 18-24,19.4,Age 25-44,21.5
Age 18-24,19.4,Age 45-64,16.8
Age 18-24,19.4,Age 65 or older,8.5
Age 25-44,21.5,Age 18-24,19.4
Age 25-44,21.5,Age 45-64,16.8
Age 25-44,21.5,Age 65 or older,8.5
Age 45-64,16.8,Age 18-24,19.4
Age 45-64,16.8,Age 25-44,21.5
Age 45-64,16.8,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,19.4
Age 65 or older,8.5,Age 25-44,21.5
Age 65 or older,8.5,Age 45-64,16.8
Age 18-24,19.2,Age 25-44,30.6
Age 18-24,19.2,Age 45-64,21.2
Age 18-24,19.2,Age 65 or older,8.9
Age 25-44,30.6,Age 18-24,19.2
Age 25-44,30.6,Age 45-64,21.2
Age 25-44,30.6,Age 65 or older,8.9
Age 45-64,21.2,Age 18-24,19.2
Age 45-64,21.2,Age 25-44,30.6
Age 45-64,21.2,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,19.2
Age 65 or older,8.9,Age 25-44,30.6
Age 65 or older,8.9,Age 45-64,21.2
Age 18-24,16.1,Age 25-44,23.0
Age 18-24,16.1,Age 45-64,24.8
Age 18-24,16.1,Age 65 or older,11.0
Age 25-44,23.0,Age 18-24,16.1
Age 25-44,23.0,Age 45-64,24.8
Age 25-44,23.0,Age 65 or older,11.0
Age 45-64,24.8,Age 18-24,16.1
Age 45-64,24.8,Age 25-44,23.0
Age 45-64,24.8,Age 65 or older,11.0
Age 65 or older,11.0,Age 18-24,16.1
Age 65 or older,11.0,Age 25-44,23.0
Age 65 or older,11.0,Age 45-64,24.8
Age 18-24,20.1,Age 25-44,22.9
Age 18-24,20.1,Age 45-64,23.2
Age 18-24,20.1,Age 65 or older,7.9
Age 25-44,22.9,Age 18-24,20.1
Age 25-44,22.9,Age 45-64,23.2
Age 25-44,22.9,Age 65 or older,7.9
Age 45-64,23.2,Age 18-24,20.1
Age 45-64,23.2,Age 25-44,22.9
Age 45-64,23.2,Age 65 or older,7.9
Age 65 or older,7.9,Age 18-24,20.1
Age 65 or older,7.9,Age 25-44,22.9
Age 65 or older,7.9,Age 45-64,23.2
Age 18-24,25.0,Age 25-44,23.5
Age 18-24,25.0,Age 45-64,21.6
Age 18-24,25.0,Age 65 or older,10.8
Age 25-44,23.5,Age 18-24,25.0
Age 25-44,23.5,Age 45-64,21.6
Age 25-44,23.5,Age 65 or older,10.8
Age 45-64,21.6,Age 18-24,25.0
Age 45-64,21.6,Age 25-44,23.5
Age 45-64,21.6,Age 65 or older,10.8
Age 65 or older,10.8,Age 18-24,25.0
Age 65 or older,10.8,Age 25-44,23.5
Age 65 or older,10.8,Age 45-64,21.6
Age 18-24,23.2,Age 25-44,20.6
Age 18-24,23.2,Age 45-64,16.5
Age 18-24,23.2,Age 65 or older,6.6
Age 25-44,20.6,Age 18-24,23.2
Age 25-44,20.6,Age 45-64,16.5
Age 25-44,20.6,Age 65 or older,6.6
Age 45-64,16.5,Age 18-24,23.2
Age 45-64,16.5,Age 25-44,20.6
Age 45-64,16.5,Age 65 or older,6.6
Age 65 or older,6.6,Age 18-24,23.2
Age 65 or older,6.6,Age 25-44,20.6
Age 65 or older,6.6,Age 45-64,16.5
Age 18-24,18.2,Age 25-44,20.9
Age 18-24,18.2,Age 45-64,17.3
Age 18-24,18.2,Age 65 or older,8.4
Age 25-44,20.9,Age 18-24,18.2
Age 25-44,20.9,Age 45-64,17.3
Age 25-44,20.9,Age 65 or older,8.4
Age 45-64,17.3,Age 18-24,18.2
Age 45-64,17.3,Age 25-44,20.9
Age 45-64,17.3,Age 65 or older,8.4
Age 65 or older,8.4,Age 18-24,18.2
Age 65 or older,8.4,Age 25-44,20.9
Age 65 or older,8.4,Age 45-64,17.3
Age 18-24,25.2,Age 25-44,24.1
Age 18-24,25.2,Age 45-64,22.5
Age 18-24,25.2,Age 65 or older,7.6
Age 25-44,24.1,Age 18-24,25.2
Age 25-44,24.1,Age 45-64,22.5
Age 25-44,24.1,Age 65 or older,7.6
Age 45-64,22.5,Age 18-24,25.2
Age 45-64,22.5,Age 25-44,24.1
Age 45-64,22.5,Age 65 or older,7.6
Age 65 or older,7.6,Age 18-24,25.2
Age 65 or older,7.6,Age 25-44,24.1
Age 65 or older,7.6,Age 45-64,22.5
Age 18-24,29.0,Age 25-44,30.9
Age 18-24,29.0,Age 45-64,26.3
Age 18-24,29.0,Age 65 or older,11.5
Age 25-44,30.9,Age 18-24,29.0
Age 25-44,30.9,Age 45-64,26.3
Age 25-44,30.9,Age 65 or older,11.5
Age 45-64,26.3,Age 18-24,29.0
Age 45-64,26.3,Age 25-44,30.9
Age 45-64,26.3,Age 65 or older,11.5
Age 65 or older,11.5,Age 18-24,29.0
Age 65 or older,11.5,Age 25-44,30.9
Age 65 or older,11.5,Age 45-64,26.3
Age 18-24,27.1,Age 25-44,25.8
Age 18-24,27.1,Age 45-64,20.3
Age 18-24,27.1,Age 65 or older,7.1
Age 25-44,25.8,Age 18-24,27.1
Age 25-44,25.8,Age 45-64,20.3
Age 25-44,25.8,Age 65 or older,7.1
Age 45-64,20.3,Age 18-24,27.1
Age 45-64,20.3,Age 25-44,25.8
Age 45-64,20.3,Age 65 or older,7.1
Age 65 or older,7.1,Age 18-24,27.1
Age 65 or older,7.1,Age 25-44,25.8
Age 65 or older,7.1,Age 45-64,20.3
Age 18-24,24.5,Age 25-44,27.2
Age 18-24,24.5,Age 45-64,22.4
Age 18-24,24.5,Age 65 or older,9.5
Age 25-44,27.2,Age 18-24,24.5
Age 25-44,27.2,Age 45-64,22.4
Age 25-44,27.2,Age 65 or older,9.5
Age 45-64,22.4,Age 18-24,24.5
Age 45-64,22.4,Age 25-44,27.2
Age 45-64,22.4,Age 65 or older,9.5
Age 65 or older,9.5,Age 18-24,24.5
Age 65 or older,9.5,Age 25-44,27.2
Age 65 or older,9.5,Age 45-64,22.4
Age 18-24,31.1,Age 25-44,37.3
Age 18-24,31.1,Age 45-64,29.5
Age 18-24,31.1,Age 65 or older,10.4
Age 25-44,37.3,Age 18-24,31.1
Age 25-44,37.3,Age 45-64,29.5
Age 25-44,37.3,Age 65 or older,10.4
Age 45-64,29.5,Age 18-24,31.1
Age 45-64,29.5,Age 25-44,37.3
Age 45-64,29.5,Age 65 or older,10.4
Age 65 or older,10.4,Age 18-24,31.1
Age 65 or older,10.4,Age 25-44,37.3
Age 65 or older,10.4,Age 45-64,29.5
Age 18-24,22.8,Age 25-44,33.1
Age 18-24,22.8,Age 45-64,26.1
Age 18-24,22.8,Age 65 or older,12.1
Age 25-44,33.1,Age 18-24,22.8
Age 25-44,33.1,Age 45-64,26.1
Age 25-44,33.1,Age 65 or older,12.1
Age 45-64,26.1,Age 18-24,22.8
Age 45-64,26.1,Age 25-44,33.1
Age 45-64,26.1,Age 65 or older,12.1
Age 65 or older,12.1,Age 18-24,22.8
Age 65 or older,12.1,Age 25-44,33.1
Age 65 or older,12.1,Age 45-64,26.1
Age 18-24,29.2,Age 25-44,32.8
Age 18-24,29.2,Age 45-64,20.9
Age 18-24,29.2,Age 65 or older,7.9
Age 25-44,32.8,Age 18-24,29.2
Age 25-44,32.8,Age 45-64,20.9
Age 25-44,32.8,Age 65 or older,7.9
Age 45-64,20.9,Age 18-24,29.2
Age 45-64,20.9,Age 25-44,32.8
Age 45-64,20.9,Age 65 or older,7.9
Age 65 or older,7.9,Age 18-24,29.2
Age 65 or older,7.9,Age 25-44,32.8
Age 65 or older,7.9,Age 45-64,20.9
Age 18-24,23.0,Age 25-44,21.8
Age 18-24,23.0,Age 45-64,19.7
Age 18-24,23.0,Age 65 or older,9.2
Age 25-44,21.8,Age 18-24,23.0
Age 25-44,21.8,Age 45-64,19.7
Age 25-44,21.8,Age 65 or older,9.2
Age 45-64,19.7,Age 18-24,23.0
Age 45-64,19.7,Age 25-44,21.8
Age 45-64,19.7,Age 65 or older,9.2
Age 65 or older,9.2,Age 18-24,23.0
Age 65 or older,9.2,Age 25-44,21.8
Age 65 or older,9.2,Age 45-64,19.7
Age 18-24,22.6,Age 25-44,23.2
Age 18-24,22.6,Age 45-64,16.6
Age 18-24,22.6,Age 65 or older,9.0
Age 25-44,23.2,Age 18-24,22.6
Age 25-44,23.2,Age 45-64,16.6
Age 25-44,23.2,Age 65 or older,9.0
Age 45-64,16.6,Age 18-24,22.6
Age 45-64,16.6,Age 25-44,23.2
Age 45-64,16.6,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,22.6
Age 65 or older,9.0,Age 25-44,23.2
Age 65 or older,9.0,Age 45-64,16.6
Age 18-24,24.3,Age 25-44,29.5
Age 18-24,24.3,Age 45-64,24.1
Age 18-24,24.3,Age 65 or older,9.9
Age 25-44,29.5,Age 18-24,24.3
Age 25-44,29.5,Age 45-64,24.1
Age 25-44,29.5,Age 65 or older,9.9
Age 45-64,24.1,Age 18-24,24.3
Age 45-64,24.1,Age 25-44,29.5
Age 45-64,24.1,Age 65 or older,9.9
Age 65 or older,9.9,Age 18-24,24.3
Age 65 or older,9.9,Age 25-44,29.5
Age 65 or older,9.9,Age 45-64,24.1
Age 18-24,24.7,Age 25-44,22.6
Age 18-24,24.7,Age 45-64,18.7
Age 18-24,24.7,Age 65 or older,8.6
Age 25-44,22.6,Age 18-24,24.7
Age 25-44,22.6,Age 45-64,18.7
Age 25-44,22.6,Age 65 or older,8.6
Age 45-64,18.7,Age 18-24,24.7
Age 45-64,18.7,Age 25-44,22.6
Age 45-64,18.7,Age 65 or older,8.6
Age 65 or older,8.6,Age 18-24,24.7
Age 65 or older,8.6,Age 25-44,22.6
Age 65 or older,8.6,Age 45-64,18.7
Age 18-24,29.0,Age 25-44,31.8
Age 18-24,29.0,Age 45-64,27.1
Age 18-24,29.0,Age 65 or older,10.0
Age 25-44,31.8,Age 18-24,29.0
Age 25-44,31.8,Age 45-64,27.1
Age 25-44,31.8,Age 65 or older,10.0
Age 45-64,27.1,Age 18-24,29.0
Age 45-64,27.1,Age 25-44,31.8
Age 45-64,27.1,Age 65 or older,10.0
Age 65 or older,10.0,Age 18-24,29.0
Age 65 or older,10.0,Age 25-44,31.8
Age 65 or older,10.0,Age 45-64,27.1
Age 18-24,25.8,Age 25-44,31.9
Age 18-24,25.8,Age 45-64,25.9
Age 18-24,25.8,Age 65 or older,10.1
Age 25-44,31.9,Age 18-24,25.8
Age 25-44,31.9,Age 45-64,25.9
Age 25-44,31.9,Age 65 or older,10.1
Age 45-64,25.9,Age 18-24,25.8
Age 45-64,25.9,Age 25-44,31.9
Age 45-64,25.9,Age 65 or older,10.1
Age 65 or older,10.1,Age 18-24,25.8
Age 65 or older,10.1,Age 25-44,31.9
Age 65 or older,10.1,Age 45-64,25.9
Age 18-24,24.4,Age 25-44,25.6
Age 18-24,24.4,Age 45-64,24.2
Age 18-24,24.4,Age 65 or older,11.0
Age 25-44,25.6,Age 18-24,24.4
Age 25-44,25.6,Age 45-64,24.2
Age 25-44,25.6,Age 65 or older,11.0
Age 45-64,24.2,Age 18-24,24.4
Age 45-64,24.2,Age 25-44,25.6
Age 45-64,24.2,Age 65 or older,11.0
Age 65 or older,11.0,Age 18-24,24.4
Age 65 or older,11.0,Age 25-44,25.6
Age 65 or older,11.0,Age 45-64,24.2
Age 18-24,22.5,Age 25-44,25.4
Age 18-24,22.5,Age 45-64,19.7
Age 18-24,22.5,Age 65 or older,8.6
Age 25-44,25.4,Age 18-24,22.5
Age 25-44,25.4,Age 45-64,19.7
Age 25-44,25.4,Age 65 or older,8.6
Age 45-64,19.7,Age 18-24,22.5
Age 45-64,19.7,Age 25-44,25.4
Age 45-64,19.7,Age 65 or older,8.6
Age 65 or older,8.6,Age 18-24,22.5
Age 65 or older,8.6,Age 25-44,25.4
Age 65 or older,8.6,Age 45-64,19.7
Age 18-24,17.4,Age 25-44,26.8
Age 18-24,17.4,Age 45-64,24.8
Age 18-24,17.4,Age 65 or older,13.5
Age 25-44,26.8,Age 18-24,17.4
Age 25-44,26.8,Age 45-64,24.8
Age 25-44,26.8,Age 65 or older,13.5
Age 45-64,24.8,Age 18-24,17.4
Age 45-64,24.8,Age 25-44,26.8
Age 45-64,24.8,Age 65 or older,13.5
Age 65 or older,13.5,Age 18-24,17.4
Age 65 or older,13.5,Age 25-44,26.8
Age 65 or older,13.5,Age 45-64,24.8
Age 18-24,21.7,Age 25-44,27.3
Age 18-24,21.7,Age 45-64,17.9
Age 18-24,21.7,Age 65 or older,7.3
Age 25-44,27.3,Age 18-24,21.7
Age 25-44,27.3,Age 45-64,17.9
Age 25-44,27.3,Age 65 or older,7.3
Age 45-64,17.9,Age 18-24,21.7
Age 45-64,17.9,Age 25-44,27.3
Age 45-64,17.9,Age 65 or older,7.3
Age 65 or older,7.3,Age 18-24,21.7
Age 65 or older,7.3,Age 25-44,27.3
Age 65 or older,7.3,Age 45-64,17.9
Age 18-24,20.0,Age 25-44,19.0
Age 18-24,20.0,Age 45-64,17.7
Age 18-24,20.0,Age 65 or older,8.9
Age 25-44,19.0,Age 18-24,20.0
Age 25-44,19.0,Age 45-64,17.7
Age 25-44,19.0,Age 65 or older,8.9
Age 45-64,17.7,Age 18-24,20.0
Age 45-64,17.7,Age 25-44,19.0
Age 45-64,17.7,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,20.0
Age 65 or older,8.9,Age 25-44,19.0
Age 65 or older,8.9,Age 45-64,17.7
Age 18-24,21.4,Age 25-44,27.5
Age 18-24,21.4,Age 45-64,21.4
Age 18-24,21.4,Age 65 or older,9.8
Age 25-44,27.5,Age 18-24,21.4
Age 25-44,27.5,Age 45-64,21.4
Age 25-44,27.5,Age 65 or older,9.8
Age 45-64,21.4,Age 18-24,21.4
Age 45-64,21.4,Age 25-44,27.5
Age 45-64,21.4,Age 65 or older,9.8
Age 65 or older,9.8,Age 18-24,21.4
Age 65 or older,9.8,Age 25-44,27.5
Age 65 or older,9.8,Age 45-64,21.4
Age 18-24,21.6,Age 25-44,20.8
Age 18-24,21.6,Age 45-64,19.3
Age 18-24,21.6,Age 65 or older,8.3
Age 25-44,20.8,Age 18-24,21.6
Age 25-44,20.8,Age 45-64,19.3
Age 25-44,20.8,Age 65 or older,8.3
Age 45-64,19.3,Age 18-24,21.6
Age 45-64,19.3,Age 25-44,20.8
Age 45-64,19.3,Age 65 or older,8.3
Age 65 or older,8.3,Age 18-24,21.6
Age 65 or older,8.3,Age 25-44,20.8
Age 65 or older,8.3,Age 45-64,19.3
Age 18-24,24.0,Age 25-44,25.6
Age 18-24,24.0,Age 45-64,23.4
Age 18-24,24.0,Age 65 or older,9.2
Age 25-44,25.6,Age 18-24,24.0
Age 25-44,25.6,Age 45-64,23.4
Age 25-44,25.6,Age 65 or older,9.2
Age 45-64,23.4,Age 18-24,24.0
Age 45-64,23.4,Age 25-44,25.6
Age 45-64,23.4,Age 65 or older,9.2
Age 65 or older,9.2,Age 18-24,24.0
Age 65 or older,9.2,Age 25-44,25.6
Age 65 or older,9.2,Age 45-64,23.4
Age 18-24,29.1,Age 25-44,26.8
Age 18-24,29.1,Age 45-64,21.3
Age 18-24,29.1,Age 65 or older,8.6
Age 25-44,26.8,Age 18-24,29.1
Age 25-44,26.8,Age 45-64,21.3
Age 25-44,26.8,Age 65 or older,8.6
Age 45-64,21.3,Age 18-24,29.1
Age 45-64,21.3,Age 25-44,26.8
Age 45-64,21.3,Age 65 or older,8.6
Age 65 or older,8.6,Age 18-24,29.1
Age 65 or older,8.6,Age 25-44,26.8
Age 65 or older,8.6,Age 45-64,21.3
Age 18-24,30.5,Age 25-44,30.3
Age 18-24,30.5,Age 45-64,26.3
Age 18-24,30.5,Age 65 or older,9.7
Age 25-44,30.3,Age 18-24,30.5
Age 25-44,30.3,Age 45-64,26.3
Age 25-44,30.3,Age 65 or older,9.7
Age 45-64,26.3,Age 18-24,30.5
Age 45-64,26.3,Age 25-44,30.3
Age 45-64,26.3,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,30.5
Age 65 or older,9.7,Age 25-44,30.3
Age 65 or older,9.7,Age 45-64,26.3
Age 18-24,26.1,Age 25-44,31.5
Age 18-24,26.1,Age 45-64,28.6
Age 18-24,26.1,Age 65 or older,11.7
Age 25-44,31.5,Age 18-24,26.1
Age 25-44,31.5,Age 45-64,28.6
Age 25-44,31.5,Age 65 or older,11.7
Age 45-64,28.6,Age 18-24,26.1
Age 45-64,28.6,Age 25-44,31.5
Age 45-64,28.6,Age 65 or older,11.7
Age 65 or older,11.7,Age 18-24,26.1
Age 65 or older,11.7,Age 25-44,31.5
Age 65 or older,11.7,Age 45-64,28.6
Age 18-24,22.6,Age 25-44,24.8
Age 18-24,22.6,Age 45-64,19.2
Age 18-24,22.6,Age 65 or older,9.6
Age 25-44,24.8,Age 18-24,22.6
Age 25-44,24.8,Age 45-64,19.2
Age 25-44,24.8,Age 65 or older,9.6
Age 45-64,19.2,Age 18-24,22.6
Age 45-64,19.2,Age 25-44,24.8
Age 45-64,19.2,Age 65 or older,9.6
Age 65 or older,9.6,Age 18-24,22.6
Age 65 or older,9.6,Age 25-44,24.8
Age 65 or older,9.6,Age 45-64,19.2
Age 18-24,27.8,Age 25-44,27.6
Age 18-24,27.8,Age 45-64,23.5
Age 18-24,27.8,Age 65 or older,9.1
Age 25-44,27.6,Age 18-24,27.8
Age 25-44,27.6,Age 45-64,23.5
Age 25-44,27.6,Age 65 or older,9.1
Age 45-64,23.5,Age 18-24,27.8
Age 45-64,23.5,Age 25-44,27.6
Age 45-64,23.5,Age 65 or older,9.1
Age 65 or older,9.1,Age 18-24,27.8
Age 65 or older,9.1,Age 25-44,27.6
Age 65 or older,9.1,Age 45-64,23.5
Age 18-24,18.1,Age 25-44,26.2
Age 18-24,18.1,Age 45-64,20.7
Age 18-24,18.1,Age 65 or older,9.3
Age 25-44,26.2,Age 18-24,18.1
Age 25-44,26.2,Age 45-64,20.7
Age 25-44,26.2,Age 65 or older,9.3
Age 45-64,20.7,Age 18-24,18.1
Age 45-64,20.7,Age 25-44,26.2
Age 45-64,20.7,Age 65 or older,9.3
Age 65 or older,9.3,Age 18-24,18.1
Age 65 or older,9.3,Age 25-44,26.2
Age 65 or older,9.3,Age 45-64,20.7
Age 18-24,27.1,Age 25-44,29.2
Age 18-24,27.1,Age 45-64,23.2
Age 18-24,27.1,Age 65 or older,9.0
Age 25-44,29.2,Age 18-24,27.1
Age 25-44,29.2,Age 45-64,23.2
Age 25-44,29.2,Age 65 or older,9.0
Age 45-64,23.2,Age 18-24,27.1
Age 45-64,23.2,Age 25-44,29.2
Age 45-64,23.2,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,27.1
Age 65 or older,9.0,Age 25-44,29.2
Age 65 or older,9.0,Age 45-64,23.2
Age 18-24,34.4,Age 25-44,28.5
Age 18-24,34.4,Age 45-64,21.0
Age 18-24,34.4,Age 65 or older,9.5
Age 25-44,28.5,Age 18-24,34.4
Age 25-44,28.5,Age 45-64,21.0
Age 25-44,28.5,Age 65 or older,9.5
Age 45-64,21.0,Age 18-24,34.4
Age 45-64,21.0,Age 25-44,28.5
Age 45-64,21.0,Age 65 or older,9.5
Age 65 or older,9.5,Age 18-24,34.4
Age 65 or older,9.5,Age 25-44,28.5
Age 65 or older,9.5,Age 45-64,21.0
Age 18-24,26.6,Age 25-44,26.9
Age 18-24,26.6,Age 45-64,24.1
Age 18-24,26.6,Age 65 or older,10.9
Age 25-44,26.9,Age 18-24,26.6
Age 25-44,26.9,Age 45-64,24.1
Age 25-44,26.9,Age 65 or older,10.9
Age 45-64,24.1,Age 18-24,26.6
Age 45-64,24.1,Age 25-44,26.9
Age 45-64,24.1,Age 65 or older,10.9
Age 65 or older,10.9,Age 18-24,26.6
Age 65 or older,10.9,Age 25-44,26.9
Age 65 or older,10.9,Age 45-64,24.1
Age 18-24,20.7,Age 25-44,21.9
Age 18-24,20.7,Age 45-64,20.0
Age 18-24,20.7,Age 65 or older,8.8
Age 25-44,21.9,Age 18-24,20.7
Age 25-44,21.9,Age 45-64,20.0
Age 25-44,21.9,Age 65 or older,8.8
Age 45-64,20.0,Age 18-24,20.7
Age 45-64,20.0,Age 25-44,21.9
Age 45-64,20.0,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,20.7
Age 65 or older,8.8,Age 25-44,21.9
Age 65 or older,8.8,Age 45-64,20.0
Age 18-24,11.1,Age 25-44,14.5
Age 18-24,11.1,Age 45-64,11.8
Age 18-24,11.1,Age 65 or older,4.7
Age 25-44,14.5,Age 18-24,11.1
Age 25-44,14.5,Age 45-64,11.8
Age 25-44,14.5,Age 65 or older,4.7
Age 45-64,11.8,Age 18-24,11.1
Age 45-64,11.8,Age 25-44,14.5
Age 45-64,11.8,Age 65 or older,4.7
Age 65 or older,4.7,Age 18-24,11.1
Age 65 or older,4.7,Age 25-44,14.5
Age 65 or older,4.7,Age 45-64,11.8
Age 18-24,23.9,Age 25-44,26.8
Age 18-24,23.9,Age 45-64,17.9
Age 18-24,23.9,Age 65 or older,6.1
Age 25-44,26.8,Age 18-24,23.9
Age 25-44,26.8,Age 45-64,17.9
Age 25-44,26.8,Age 65 or older,6.1
Age 45-64,17.9,Age 18-24,23.9
Age 45-64,17.9,Age 25-44,26.8
Age 45-64,17.9,Age 65 or older,6.1
Age 65 or older,6.1,Age 18-24,23.9
Age 65 or older,6.1,Age 25-44,26.8
Age 65 or older,6.1,Age 45-64,17.9
Age 18-24,26.1,Age 25-44,24.6
Age 18-24,26.1,Age 45-64,21.0
Age 18-24,26.1,Age 65 or older,8.9
Age 25-44,24.6,Age 18-24,26.1
Age 25-44,24.6,Age 45-64,21.0
Age 25-44,24.6,Age 65 or older,8.9
Age 45-64,21.0,Age 18-24,26.1
Age 45-64,21.0,Age 25-44,24.6
Age 45-64,21.0,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,26.1
Age 65 or older,8.9,Age 25-44,24.6
Age 65 or older,8.9,Age 45-64,21.0
Age 18-24,15.8,Age 25-44,22.7
Age 18-24,15.8,Age 45-64,17.5
Age 18-24,15.8,Age 65 or older,7.5
Age 25-44,22.7,Age 18-24,15.8
Age 25-44,22.7,Age 45-64,17.5
Age 25-44,22.7,Age 65 or older,7.5
Age 45-64,17.5,Age 18-24,15.8
Age 45-64,17.5,Age 25-44,22.7
Age 45-64,17.5,Age 65 or older,7.5
Age 65 or older,7.5,Age 18-24,15.8
Age 65 or older,7.5,Age 25-44,22.7
Age 65 or older,7.5,Age 45-64,17.5
Age 18-24,38.5,Age 25-44,38.0
Age 18-24,38.5,Age 45-64,27.4
Age 18-24,38.5,Age 65 or older,10.9
Age 25-44,38.0,Age 18-24,38.5
Age 25-44,38.0,Age 45-64,27.4
Age 25-44,38.0,Age 65 or older,10.9
Age 45-64,27.4,Age 18-24,38.5
Age 45-64,27.4,Age 25-44,38.0
Age 45-64,27.4,Age 65 or older,10.9
Age 65 or older,10.9,Age 18-24,38.5
Age 65 or older,10.9,Age 25-44,38.0
Age 65 or older,10.9,Age 45-64,27.4
Age 18-24,23.0,Age 25-44,26.4
Age 18-24,23.0,Age 45-64,20.7
Age 18-24,23.0,Age 65 or older,9.7
Age 25-44,26.4,Age 18-24,23.0
Age 25-44,26.4,Age 45-64,20.7
Age 25-44,26.4,Age 65 or older,9.7
Age 45-64,20.7,Age 18-24,23.0
Age 45-64,20.7,Age 25-44,26.4
Age 45-64,20.7,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,23.0
Age 65 or older,9.7,Age 25-44,26.4
Age 65 or older,9.7,Age 45-64,20.7
Age 18-24,25.4,Age 25-44,27.2
Age 18-24,25.4,Age 45-64,23.5
Age 18-24,25.4,Age 65 or older,11.8
Age 25-44,27.2,Age 18-24,25.4
Age 25-44,27.2,Age 45-64,23.5
Age 25-44,27.2,Age 65 or older,11.8
Age 45-64,23.5,Age 18-24,25.4
Age 45-64,23.5,Age 25-44,27.2
Age 45-64,23.5,Age 65 or older,11.8
Age 65 or older,11.8,Age 18-24,25.4
Age 65 or older,11.8,Age 25-44,27.2
Age 65 or older,11.8,Age 45-64,23.5
Age 18-24,27.5,Age 25-44,28.9
Age 18-24,27.5,Age 45-64,25.2
Age 18-24,27.5,Age 65 or older,9.7
Age 25-44,28.9,Age 18-24,27.5
Age 25-44,28.9,Age 45-64,25.2
